"","ref","line"
"1",0,0
"2",10,470
"3",10,471
"4",10,474
"5",10,476
"6",10,490
"7",99,4422
"8",99,4438
"9",99,4449
"10",111,4888
"11",111,4909
"12",261,10759
"13",261,10765
"14",265,10906
"15",303,12306
"16",445,18200
"17",460,18826
"18",460,18842
"19",603,24289
"20",603,24306
"21",697,28405
"22",697,28406
"23",710,28911
"24",710,28923
"25",710,28925
"26",710,28930
"27",844,33919
"28",889,35607
"29",889,35620
"30",889,35626
"31",982,39107
"32",1074,42574
"33",1074,42589
"34",1074,42591
"35",1074,42593
"36",1074,42605
"37",1074,42612
"38",1137,45682
"39",1146,46030
"40",1146,46046
"41",1251,50014
"42",1410,56520
"43",1511,60504
"44",1546,61818
"45",1601,64066
"46",1631,65146
"47",1631,65160
"48",1631,65177
"49",1634,65280
"50",1637,65396
"51",1637,65404
"52",1637,65406
"53",1637,65409
"54",1724,69040
"55",1724,69060
"56",1961,78457
"57",2199,87425
"58",2353,93988
"59",2387,95393
"60",2468,98370
