"","ref","line"
"1",0,0
"2",85,3875
"3",85,3884
"4",99,4430
"5",99,4447
"6",99,4453
"7",142,6233
"8",142,6234
"9",224,9596
"10",224,9608
"11",474,20120
"12",485,20559
"13",544,22880
"14",544,22892
"15",544,22906
"16",608,25382
"17",608,25398
"18",608,25402
"19",610,25476
"20",610,25478
"21",776,32522
"22",776,32527
"23",776,32530
"24",827,34724
"25",1015,42672
"26",1064,44512
"27",1166,48183
"28",1226,50427
"29",1226,50432
"30",1258,51714
"31",1258,51730
"32",1274,52411
"33",1274,52418
"34",1442,58835
"35",1442,58839
"36",1486,60891
"37",1585,65152
"38",1585,65161
"39",2018,83312
"40",2018,83323
"41",2100,86541
"42",2141,88168
"43",2157,88764
"44",2157,88789
"45",2157,88843
"46",2157,88855
"47",2172,89766
"48",2217,91772
"49",2232,92351
"50",2232,92352
