"","ref","line"
"1",0,0
"2",65,2760
"3",80,3532
"4",92,4077
"5",92,4099
"6",92,4103
"7",92,4118
"8",125,5579
"9",199,8807
"10",261,11516
"11",277,12190
"12",277,12209
"13",297,12981
"14",297,13006
"15",310,13551
"16",347,15120
"17",347,15133
"18",347,15148
"19",385,16772
"20",385,16778
"21",455,19425
"22",455,19439
"23",455,19440
"24",455,19444
"25",455,19445
"26",467,20075
"27",467,20100
"28",467,20115
"29",467,20161
"30",499,21626
"31",499,21647
"32",517,22430
"33",517,22437
"34",525,22800
"35",525,22809
"36",535,23300
"37",568,24758
"38",618,26947
"39",618,26955
"40",630,27401
"41",630,27408
"42",630,27415
"43",630,27419
"44",638,27734
"45",638,27749
"46",638,27767
"47",703,30525
"48",703,30560
"49",772,33384
"50",999,43100
"51",999,43112
"52",999,43120
"53",1044,45176
"54",1044,45195
"55",1068,46184
"56",1068,46206
"57",1106,47770
"58",1132,48819
"59",1132,48836
"60",1132,48843
"61",1132,48856
"62",1153,49701
"63",1182,50961
"64",1182,50962
"65",1196,51526
"66",1227,52862
"67",1227,52872
"68",1370,59150
"69",1370,59161
"70",1488,64111
"71",1521,65630
"72",1521,65639
"73",1521,65640
"74",1521,65653
"75",1535,66282
"76",1535,66304
"77",1687,72294
"78",1764,75178
"79",1764,75205
"80",1805,76876
"81",1805,76889
"82",1805,76890
"83",1805,76895
"84",1882,80281
"85",1898,80914
"86",1898,80933
"87",1939,82610
"88",1939,82615
"89",1939,82625
"90",2024,86015
"91",2024,86025
"92",2044,86743
"93",2044,86761
"94",2044,86765
"95",2046,86849
"96",2046,86862
"97",2081,88266
"98",2091,88729
"99",2091,88753
"100",2141,90754
"101",2160,91501
"102",2160,91513
"103",2160,91520
"104",2160,91530
"105",2283,96255
"106",2283,96268
"107",2288,96470
"108",2288,96473
"109",2288,96477
