"","ref","line"
"1",0,0
"2",7,298
"3",7,311
"4",7,316
"5",7,332
"6",15,635
"7",15,642
"8",19,803
"9",19,809
"10",235,9788
"11",272,11616
"12",288,12286
"13",288,12289
"14",288,12292
"15",299,12728
"16",299,12732
"17",315,13396
"18",315,13401
"19",328,13909
"20",358,15151
"21",358,15156
"22",391,16543
"23",487,20503
"24",487,20517
"25",487,20519
"26",542,22654
"27",542,22659
"28",542,22660
"29",542,22662
"30",542,22663
"31",542,22665
"32",542,22666
"33",666,28416
"34",666,28422
"35",666,28425
"36",666,28427
"37",702,29877
"38",702,29882
"39",716,30480
"40",738,31346
"41",760,32227
"42",760,32228
"43",778,32985
"44",1074,45430
"45",1074,45446
"46",1364,57082
"47",1364,57091
"48",1364,57095
"49",1364,57097
"50",1364,57102
"51",1364,57103
"52",1364,57104
"53",1364,57111
"54",1364,57116
"55",1364,57117
"56",1364,57119
"57",1365,57152
"58",1438,60629
"59",1513,63711
"60",1539,64742
"61",1548,65091
"62",1550,65157
"63",1550,65179
"64",1550,65181
"65",1577,66282
"66",1590,66833
"67",1677,70311
"68",1720,71982
"69",1720,71994
"70",1758,73899
"71",1787,75180
"72",1886,79132
"73",1940,81347
"74",1940,81365
"75",1940,81372
"76",1940,81373
"77",1940,81374
"78",1940,81375
"79",1940,81376
"80",1940,81377
"81",1940,81379
"82",1940,81380
"83",1940,81381
"84",1940,81382
"85",1940,81383
"86",1940,81384
"87",1940,81385
"88",1940,81386
"89",1940,81387
"90",1940,81388
"91",2132,89474
"92",2157,90667
"93",2157,90677
"94",2172,91250
"95",2172,91266
"96",2172,91272
"97",2256,94719
"98",2256,94722
"99",2305,96779
"100",2305,96780
"101",2305,96781
"102",2305,96782
"103",2305,96786
"104",2337,98047
"105",2342,98293
"106",2346,98494
"107",2346,98502
