"","ref","line"
"1",0,0
"2",45,1778
"3",45,1793
"4",45,1803
"5",74,3439
"6",74,3457
"7",85,3855
"8",144,6322
"9",160,6990
"10",160,7003
"11",188,8164
"12",188,8186
"13",188,8188
"14",188,8195
"15",268,11397
"16",429,18216
"17",472,20036
"18",472,20049
"19",477,20233
"20",477,20265
"21",513,21647
"22",544,22880
"23",544,22892
"24",544,22906
"25",718,30169
"26",718,30185
"27",722,30330
"28",776,32499
"29",776,32526
"30",791,33155
"31",821,34472
"32",821,34493
"33",944,39203
"34",944,39213
"35",944,39221
"36",944,39227
"37",962,39973
"38",962,39976
"39",962,39977
"40",962,39978
"41",962,39985
"42",1161,47949
"43",1166,48187
"44",1166,48195
"45",1258,51670
"46",1274,52400
"47",1274,52411
"48",1274,52423
"49",1442,58821
"50",1502,61697
"51",1768,72581
"52",1768,72584
"53",1848,75854
"54",1864,77001
"55",1864,77033
"56",1880,77787
"57",1958,80961
"58",2018,83324
"59",2141,88167
"60",2350,97001
"61",2350,97012
"62",2350,97021
"63",2350,97031
"64",2407,99328
"65",2407,99341
"66",2407,99346
