"","ref","line"
"1",0,0
"2",59,2293
"3",151,5637
"4",151,5642
"5",169,6309
"6",290,11026
"7",290,11032
"8",318,12038
"9",359,13685
"10",434,16593
"11",546,21278
"12",546,21300
"13",593,23082
"14",593,23093
"15",723,28208
"16",748,29132
"17",748,29149
"18",748,29155
"19",748,29156
"20",789,30847
"21",833,32557
"22",860,33696
"23",881,34959
"24",907,36016
"25",907,36022
"26",907,36027
"27",907,36037
"28",1052,41664
"29",1066,42230
"30",1066,42236
"31",1066,42241
"32",1185,46916
"33",1185,46929
"34",1185,46935
"35",1185,46938
"36",1185,46945
"37",1197,47558
"38",1197,47559
"39",1197,47568
"40",1240,49095
"41",1359,54341
"42",1359,54342
"43",1382,55188
"44",1382,55203
"45",1382,55209
"46",1382,55216
"47",1482,58990
"48",1482,59005
"49",1482,59012
"50",1514,60302
"51",1592,63409
"52",1592,63431
"53",1592,63437
"54",1609,64042
"55",1643,65841
"56",1657,66606
"57",1713,68821
"58",1725,69271
"59",1725,69274
"60",1890,75328
"61",1910,76136
"62",2028,80809
"63",2028,80824
"64",2148,85968
"65",2256,90558
"66",2283,91614
"67",2283,91643
"68",2283,91645
"69",2291,91988
"70",2354,94376
"71",2354,94380
"72",2360,94602
