"","ref","line"
"1",0,0
"2",11,426
"3",11,455
"4",11,456
"5",11,473
"6",26,1056
"7",27,1128
"8",32,1490
"9",50,2544
"10",50,2555
"11",51,2652
"12",51,2653
"13",79,3965
"14",104,5208
"15",110,5465
"16",173,7949
"17",173,7961
"18",178,8171
"19",198,8983
"20",198,8997
"21",198,9000
"22",198,9003
"23",207,9353
"24",207,9376
"25",207,9389
"26",221,9925
"27",247,10977
"28",247,10979
"29",248,11018
"30",302,13180
"31",302,13196
"32",302,13199
"33",302,13203
"34",302,13206
"35",389,16746
"36",671,28550
"37",671,28559
"38",675,28702
"39",675,28719
"40",675,28724
"41",675,28733
"42",675,28737
"43",679,28882
"44",679,28892
"45",967,40680
"46",1026,43304
"47",1026,43320
"48",1026,43359
"49",1026,43362
"50",1043,44348
"51",1043,44361
"52",1043,44368
"53",1064,45268
"54",1064,45286
"55",1077,45814
"56",1077,45832
"57",1077,45852
"58",1087,46209
"59",1127,47819
"60",1127,47828
"61",1152,48840
"62",1264,53365
"63",1345,56492
"64",1345,56501
"65",1345,56502
"66",1345,56505
"67",1345,56508
"68",1345,56511
"69",1345,56513
"70",1345,56517
"71",1345,56519
"72",1345,56522
"73",1345,56524
"74",1345,56531
"75",1345,56533
"76",1388,58202
"77",1492,62715
"78",1492,62724
"79",1492,62737
"80",1492,62744
"81",1492,62745
"82",1600,67106
"83",1602,67192
"84",1619,67848
"85",1619,67874
"86",1661,69604
"87",1661,69624
"88",1661,69627
"89",1661,69632
"90",1661,69637
"91",1749,72997
"92",1749,73020
"93",1749,73025
"94",1749,73030
"95",1886,79199
"96",1886,79210
"97",1886,79233
"98",1906,80050
"99",2088,87334
"100",2088,87346
"101",2273,95342
"102",2273,95360
"103",2273,95379
"104",2336,97931
"105",2387,99906
"106",2387,99925
"107",2387,99935
