"","ref","line"
"1",0,0
"2",6,246
"3",76,2889
"4",153,5969
"5",183,7167
"6",183,7188
"7",183,7190
"8",183,7199
"9",262,10342
"10",286,11262
"11",305,12114
"12",431,17695
"13",431,17697
"14",559,22457
"15",687,27451
"16",771,30643
"17",771,30644
"18",771,30645
"19",771,30648
"20",771,30655
"21",771,30659
"22",801,31818
"23",801,31832
"24",801,31842
"25",801,31844
"26",801,31846
"27",801,31848
"28",813,32291
"29",822,32603
"30",822,32614
"31",968,38940
"32",968,38958
"33",995,40006
"34",1021,41057
"35",1021,41062
"36",1068,42898
"37",1107,44410
"38",1107,44421
"39",1107,44427
"40",1107,44430
"41",1107,44437
"42",1107,44443
"43",1131,45396
"44",1131,45403
"45",1499,60491
"46",1531,61659
"47",1631,65482
"48",1659,66690
"49",1659,66704
"50",1659,66707
"51",1718,69028
"52",1743,69904
"53",1819,73083
"54",1819,73097
"55",2041,81983
"56",2041,81984
"57",2171,87062
"58",2171,87066
"59",2175,87212
"60",2222,89055
"61",2222,89064
"62",2268,90810
"63",2268,90814
"64",2268,90815
"65",2271,90966
"66",2284,91500
"67",2373,95046
"68",2402,96126
"69",2402,96131
"70",2402,96136
"71",2407,96319
"72",2407,96326
"73",2407,96327
