"","ref","line"
"1",0,0
"2",2,90
"3",2,95
"4",2,100
"5",18,839
"6",18,875
"7",18,885
"8",31,1548
"9",38,1806
"10",38,1809
"11",38,1819
"12",48,2277
"13",110,5383
"14",110,5410
"15",133,6479
"16",133,6481
"17",156,7609
"18",156,7610
"19",202,10037
"20",218,10757
"21",233,11435
"22",233,11439
"23",365,17432
"24",389,18559
"25",389,18565
"26",448,21162
"27",448,21181
"28",448,21182
"29",448,21184
"30",451,21319
"31",492,23039
"32",492,23046
"33",516,25108
"34",518,25198
"35",518,25219
"36",518,25220
"37",548,26611
"38",563,27246
"39",563,27248
"40",620,30125
"41",673,32564
"42",673,32567
"43",737,35336
"44",737,35343
"45",737,35348
"46",737,35350
"47",737,35352
"48",737,35355
"49",781,37377
"50",781,37381
"51",781,37394
"52",858,40776
"53",917,43427
"54",917,43441
"55",934,44162
"56",934,44167
"57",1008,47966
"58",1013,48194
"59",1218,56953
"60",1218,56957
"61",1251,58290
"62",1251,58307
"63",1362,63282
"64",1368,63584
"65",1368,63606
"66",1368,63609
"67",1410,65762
"68",1412,65849
"69",1431,66777
"70",1538,71448
"71",1538,71456
"72",1634,75597
"73",1672,77116
"74",1672,77117
"75",1672,77119
"76",1672,77127
"77",1752,80750
"78",1809,83707
"79",1831,84984
"80",1878,87051
"81",2018,93143
"82",2045,94276
"83",2045,94287
"84",2045,94299
"85",2045,94304
"86",2049,94470
"87",2049,94483
"88",2100,96728
"89",2100,96748
