"","ref","line"
"1",0,0
"2",63,2428
"3",141,5898
"4",193,7979
"5",193,7985
"6",402,16634
"7",402,16643
"8",402,16653
"9",402,16661
"10",402,16665
"11",594,24622
"12",594,24643
"13",603,24950
"14",603,24965
"15",767,31553
"16",767,31567
"17",848,35244
"18",915,37896
"19",915,37916
"20",926,38342
"21",926,38347
"22",926,38358
"23",1012,41787
"24",1136,47007
"25",1203,49816
"26",1203,49831
"27",1203,49839
"28",1203,49846
"29",1203,49849
"30",1203,49855
"31",1205,49939
"32",1230,50938
"33",1230,50949
"34",1260,52241
"35",1260,52257
"36",1380,56940
"37",1380,56980
"38",1405,58095
"39",1405,58102
"40",1405,58108
"41",1405,58113
"42",1477,61020
"43",1533,63154
"44",1533,63155
"45",1561,64266
"46",1651,68033
"47",1910,78965
"48",1920,79328
"49",1920,79350
"50",1990,82244
"51",1990,82259
"52",1990,82272
"53",1990,82283
"54",1990,82297
"55",2075,85623
"56",2075,85633
"57",2089,86183
"58",2131,87834
"59",2131,87841
"60",2160,88926
"61",2169,89302
"62",2169,89330
"63",2169,89348
"64",2224,92097
"65",2224,92118
"66",2224,92121
"67",2241,92841
"68",2259,93552
"69",2259,93566
"70",2259,93574
"71",2272,94089
"72",2280,94445
"73",2280,94465
"74",2315,95792
"75",2315,95803
"76",2315,95811
"77",2315,95819
"78",2321,96017
"79",2373,97980
"80",2373,97996
