"","ref","line"
"1",0,0
"2",222,8416
"3",222,8429
"4",222,8430
"5",277,10501
"6",295,11207
"7",295,11223
"8",392,14913
"9",593,23082
"10",688,26871
"11",785,30692
"12",881,34967
"13",881,34971
"14",881,34978
"15",968,38319
"16",984,38968
"17",998,39492
"18",1008,39946
"19",1078,42669
"20",1096,43409
"21",1096,43410
"22",1138,45087
"23",1138,45089
"24",1138,45090
"25",1138,45095
"26",1138,45097
"27",1138,45100
"28",1138,45102
"29",1217,48233
"30",1226,48540
"31",1309,52373
"32",1309,52389
"33",1347,53883
"34",1359,54344
"35",1495,59517
"36",1785,71590
"37",1785,71615
"38",1785,71619
"39",1792,71842
"40",1792,71858
"41",1796,71986
"42",1796,72000
"43",1796,72009
"44",1796,72011
"45",1796,72015
"46",1834,73381
"47",1920,76505
"48",1920,76516
"49",2015,80312
"50",2028,80809
"51",2028,80824
"52",2028,80830
"53",2028,80835
"54",2189,88036
"55",2189,88040
"56",2218,89120
"57",2223,89328
"58",2223,89336
"59",2223,89339
"60",2223,89349
"61",2223,89352
"62",2223,89353
"63",2223,89356
"64",2224,89368
"65",2224,89384
"66",2224,89388
"67",2224,89391
"68",2263,90809
"69",2263,90818
"70",2263,90825
"71",2263,90827
"72",2263,90828
"73",2263,90832
"74",2290,91944
"75",2290,91957
"76",2290,91964
"77",2290,91968
"78",2291,91993
"79",2311,92749
"80",2311,92753
"81",2322,93178
"82",2375,95194
"83",2421,96969
"84",2421,96990
"85",2421,96997
"86",2442,97824
