"","ref","line"
"1",0,0
"2",21,794
"3",57,2316
"4",58,2345
"5",58,2358
"6",61,2509
"7",61,2521
"8",70,2876
"9",70,2902
"10",70,2903
"11",70,2908
"12",93,3929
"13",93,3956
"14",93,3959
"15",93,3965
"16",98,4124
"17",98,4142
"18",99,4167
"19",99,4186
"20",99,4187
"21",99,4198
"22",102,4293
"23",102,4303
"24",102,4312
"25",105,4415
"26",105,4432
"27",105,4433
"28",107,4529
"29",111,4730
"30",157,6892
"31",169,7453
"32",187,8270
"33",187,8288
"34",193,8491
"35",274,12080
"36",356,15737
"37",356,15745
"38",357,15769
"39",357,15773
"40",392,17239
"41",392,17243
"42",392,17261
"43",548,24100
"44",548,24127
"45",548,24138
"46",548,24139
"47",596,26202
"48",602,26428
"49",631,27749
"50",646,28390
"51",646,28394
"52",646,28399
"53",655,28839
"54",655,28855
"55",658,28988
"56",659,29011
"57",659,29026
"58",659,29046
"59",660,29057
"60",660,29066
"61",660,29076
"62",662,29141
"63",662,29157
"64",682,29941
"65",682,29955
"66",682,29968
"67",723,31741
"68",723,31753
"69",723,31757
"70",742,32613
"71",778,34064
"72",778,34068
"73",778,34069
"74",787,34457
"75",792,34636
"76",834,36603
"77",857,37712
"78",857,37727
"79",857,37731
"80",857,37746
"81",1006,44711
"82",1006,44728
"83",1006,44745
"84",1100,48931
"85",1121,49831
"86",1121,49844
"87",1127,50139
"88",1191,52808
"89",1191,52824
"90",1191,52826
"91",1191,52838
"92",1191,52841
"93",1221,54181
"94",1221,54203
"95",1221,54215
"96",1358,59887
"97",1358,59900
"98",1358,59919
"99",1358,59928
"100",1367,60309
"101",1367,60326
"102",1367,60327
"103",1370,60430
"104",1370,60448
"105",1370,60449
"106",1409,62472
"107",1409,62480
"108",1409,62484
"109",1422,63058
"110",1422,63071
"111",1422,63075
"112",1427,63298
"113",1480,65592
"114",1480,65615
"115",1521,67363
"116",1540,68063
"117",1540,68072
"118",1641,72258
"119",1641,72276
"120",1674,73666
"121",1752,76939
"122",1752,76963
"123",1814,79281
"124",1814,79298
"125",1814,79309
"126",1814,79316
"127",1815,79329
"128",1815,79345
"129",1815,79349
"130",1815,79353
"131",1842,80499
"132",1842,80518
"133",1842,80521
"134",1850,80802
"135",1850,80827
"136",1850,80830
"137",1878,82033
"138",1878,82059
"139",1878,82081
"140",1879,82094
"141",1879,82106
"142",1879,82114
"143",1964,85849
"144",1964,85864
"145",1964,85869
"146",1987,86753
"147",1987,86768
"148",1998,87213
"149",1998,87220
"150",1998,87224
"151",2017,88025
"152",2017,88040
"153",2027,88479
"154",2033,88747
"155",2033,88751
"156",2033,88754
"157",2033,88762
