"","ref","line"
"1",0,0
"2",57,2322
"3",58,2372
"4",70,2902
"5",90,3816
"6",90,3824
"7",99,4194
"8",102,4314
"9",102,4315
"10",102,4316
"11",102,4317
"12",102,4319
"13",102,4320
"14",112,4776
"15",112,4782
"16",193,8507
"17",292,12848
"18",292,12873
"19",292,12877
"20",373,16464
"21",375,16552
"22",375,16559
"23",424,18672
"24",539,23622
"25",646,28390
"26",659,29026
"27",741,32516
"28",741,32521
"29",741,32542
"30",834,36609
"31",834,36613
"32",857,37730
"33",1006,44728
"34",1032,45946
"35",1032,45947
"36",1191,52826
"37",1191,52828
"38",1191,52839
"39",1221,54203
"40",1221,54208
"41",1358,59900
"42",1358,59906
"43",1358,59908
"44",1370,60448
"45",1371,60526
"46",1371,60579
"47",1371,60591
"48",1422,63075
"49",1486,65934
"50",1511,66946
"51",1522,67423
"52",1641,72278
"53",1719,75542
"54",1814,79310
"55",1850,80829
"56",1850,80830
"57",1878,82059
"58",1878,82074
"59",1998,87224
"60",1998,87235
"61",2017,88024
"62",2017,88040
"63",2017,88049
"64",2027,88479
"65",2054,89584
"66",2177,95088
"67",2177,95090
"68",2230,97264
