"","ref","line"
"1",0,0
"2",58,2402
"3",101,3981
"4",101,3983
"5",101,3985
"6",124,4799
"7",156,6147
"8",219,8635
"9",219,8640
"10",414,16203
"11",427,16710
"12",427,16726
"13",427,16732
"14",448,17653
"15",496,19806
"16",508,20206
"17",513,20409
"18",513,20426
"19",513,20430
"20",513,20440
"21",540,21477
"22",586,23247
"23",645,25498
"24",645,25499
"25",664,26277
"26",706,28202
"27",884,35260
"28",954,38287
"29",963,38662
"30",1025,41150
"31",1109,44464
"32",1109,44475
"33",1109,44478
"34",1109,44481
"35",1252,50357
"36",1393,55919
"37",1434,57583
"38",1459,58577
"39",1512,60685
"40",1588,63906
"41",1588,63911
"42",1588,63914
"43",1610,64738
"44",1610,64739
"45",1610,64757
"46",1778,71647
"47",1792,72199
"48",2077,83776
"49",2125,85657
"50",2125,85664
"51",2125,85669
"52",2126,85686
"53",2222,89611
"54",2232,90029
"55",2294,92444
"56",2355,94930
"57",2469,99879
