"","ref","line"
"1",0,0
"2",52,2206
"3",52,2216
"4",52,2217
"5",52,2220
"6",92,4103
"7",145,6481
"8",145,6484
"9",292,12805
"10",310,13551
"11",310,13577
"12",310,13578
"13",310,13584
"14",310,13586
"15",347,15148
"16",418,18091
"17",455,19444
"18",467,20139
"19",467,20147
"20",467,20160
"21",497,21554
"22",499,21651
"23",517,22432
"24",517,22436
"25",525,22824
"26",657,28593
"27",657,28594
"28",662,28806
"29",692,30104
"30",692,30114
"31",692,30120
"32",692,30122
"33",703,30545
"34",755,32690
"35",757,32781
"36",757,32793
"37",1029,44467
"38",1029,44470
"39",1036,44733
"40",1200,51758
"41",1200,51762
"42",1357,58507
"43",1357,58511
"44",1389,60039
"45",1389,60044
"46",1488,64128
"47",1554,67122
"48",1805,76895
"49",1805,76899
"50",1915,81611
"51",1939,82610
"52",1939,82617
"53",1939,82626
"54",2024,86015
"55",2024,86025
"56",2024,86029
"57",2024,86034
"58",2046,86849
"59",2046,86867
"60",2091,88751
"61",2100,89141
"62",2159,91478
