"","ref","line"
"1",0,0
"2",9,355
"3",16,654
"4",16,664
"5",16,668
"6",17,697
"7",17,712
"8",17,724
"9",17,735
"10",32,1341
"11",32,1354
"12",52,2114
"13",52,2131
"14",58,2374
"15",58,2398
"16",92,3627
"17",124,4785
"18",155,6080
"19",155,6089
"20",155,6100
"21",155,6101
"22",155,6105
"23",155,6111
"24",155,6112
"25",217,8560
"26",219,8618
"27",219,8635
"28",277,10772
"29",277,10797
"30",375,14652
"31",377,14749
"32",566,22501
"33",640,25301
"34",640,25302
"35",640,25317
"36",640,25329
"37",719,28717
"38",779,31062
"39",816,32538
"40",819,32657
"41",819,32664
"42",819,32670
"43",819,32672
"44",819,32674
"45",819,32676
"46",819,32677
"47",825,32895
"48",1057,42431
"49",1109,44444
"50",1109,44462
"51",1109,44463
"52",1147,46188
"53",1252,50342
"54",1252,50359
"55",1328,53310
"56",1328,53332
"57",1328,53335
"58",1466,58828
"59",1466,58837
"60",1512,60673
"61",1512,60686
"62",1532,61618
"63",1532,61635
"64",1532,61637
"65",1574,63360
"66",1574,63371
"67",1574,63399
"68",1574,63400
"69",1574,63405
"70",1610,64756
"71",1742,69964
"72",1896,76424
"73",2278,91794
"74",2278,91803
"75",2278,91808
"76",2278,91822
"77",2471,99975
