"","ref","line"
"1",0,0
"2",286,11707
"3",372,15439
"4",372,15450
"5",372,15453
"6",372,15454
"7",372,15455
"8",372,15456
"9",372,15458
"10",372,15466
"11",372,15468
"12",397,16379
"13",397,16391
"14",397,16405
"15",557,22440
"16",563,22652
"17",563,22661
"18",575,23139
"19",740,30061
"20",1125,45275
"21",1167,46785
"22",1167,46796
"23",1170,46891
"24",1170,46909
"25",1170,46915
"26",1170,46916
"27",1170,46920
"28",1218,48705
"29",1218,48716
"30",1230,49226
"31",1282,51108
"32",1307,52095
"33",1307,52107
"34",1376,54752
"35",1376,54759
"36",1376,54761
"37",1597,63847
"38",1597,63859
"39",1597,63861
"40",1597,63867
"41",1597,63868
"42",1597,63869
"43",1597,63870
"44",1597,63873
"45",1612,64487
"46",1612,64494
"47",1612,64495
"48",1612,64496
"49",1724,69039
"50",1724,69060
"51",1724,69063
"52",1738,69572
"53",1738,69580
"54",1773,70850
"55",1894,75386
"56",1894,75396
"57",1894,75404
"58",1894,75412
"59",1903,75737
"60",1930,76792
"61",1956,78246
"62",1956,78258
"63",1956,78260
"64",1965,78619
"65",2012,80407
"66",2012,80425
"67",2012,80439
"68",2049,81837
"69",2065,82355
"70",2107,83858
"71",2107,83863
"72",2108,83876
"73",2108,83891
"74",2108,83892
"75",2377,94963
