"","ref","line"
"1",0,0
"2",2,91
"3",18,886
"4",38,1787
"5",38,1795
"6",38,1809
"7",38,1817
"8",44,2084
"9",48,2269
"10",48,2274
"11",48,2280
"12",78,3681
"13",78,3713
"14",78,3720
"15",78,3725
"16",110,5383
"17",110,5399
"18",110,5410
"19",125,6142
"20",133,6474
"21",133,6475
"22",133,6479
"23",133,6485
"24",203,10060
"25",203,10079
"26",260,12588
"27",260,12607
"28",260,12613
"29",260,12622
"30",336,16026
"31",336,16059
"32",341,16282
"33",341,16300
"34",341,16307
"35",400,19008
"36",410,19452
"37",410,19488
"38",438,20691
"39",438,20706
"40",446,21070
"41",448,21163
"42",448,21177
"43",448,21188
"44",448,21201
"45",451,21297
"46",451,21319
"47",451,21323
"48",451,21337
"49",488,22816
"50",488,22830
"51",518,25198
"52",526,25615
"53",548,26591
"54",548,26611
"55",563,27216
"56",563,27240
"57",563,27247
"58",563,27263
"59",620,30111
"60",620,30126
"61",620,30146
"62",622,30231
"63",673,32540
"64",673,32564
"65",781,37354
"66",781,37371
"67",781,37377
"68",781,37378
"69",781,37380
"70",781,37394
"71",781,37395
"72",797,38045
"73",877,41596
"74",877,41617
"75",917,43407
"76",917,43419
"77",917,43434
"78",932,44016
"79",932,44036
"80",932,44047
"81",932,44048
"82",973,46313
"83",973,46344
"84",973,46348
"85",1013,48194
"86",1013,48203
"87",1026,48718
"88",1162,54435
"89",1162,54449
"90",1162,54455
"91",1218,56932
"92",1218,56953
"93",1218,56956
"94",1218,56964
"95",1366,63491
"96",1366,63512
"97",1368,63585
"98",1368,63606
"99",1395,64991
"100",1395,65024
"101",1399,65282
"102",1410,65737
"103",1410,65762
"104",1410,65767
"105",1412,65822
"106",1412,65851
"107",1412,65862
"108",1416,66090
"109",1431,66766
"110",1486,69264
"111",1516,70570
"112",1516,70576
"113",1541,71585
"114",1581,73280
"115",1581,73302
"116",1581,73304
"117",1581,73311
"118",1581,73316
"119",1694,78012
"120",1708,78692
"121",1752,80766
"122",1752,80767
"123",1808,83661
"124",1809,83677
"125",1809,83701
"126",1809,83704
"127",1809,83707
"128",1809,83722
"129",1831,84942
"130",1831,84958
"131",1831,84970
"132",1831,84973
"133",1850,85778
"134",1899,87958
"135",1899,87970
"136",2045,94276
"137",2045,94287
"138",2045,94295
"139",2045,94297
"140",2049,94471
"141",2100,96743
"142",2100,96761
"143",2165,99587
