"","ref","line"
"1",0,0
"2",45,1722
"3",49,1874
"4",49,1883
"5",105,3970
"6",152,5932
"7",199,7869
"8",203,8055
"9",214,8507
"10",214,8528
"11",217,8612
"12",305,12105
"13",305,12110
"14",388,15922
"15",431,17696
"16",494,19974
"17",494,19987
"18",705,28165
"19",705,28176
"20",705,28178
"21",705,28179
"22",705,28188
"23",705,28191
"24",768,30498
"25",768,30514
"26",768,30520
"27",768,30534
"28",879,34833
"29",879,34850
"30",879,34857
"31",879,34861
"32",885,35105
"33",1007,40494
"34",1131,45402
"35",1189,47656
"36",1189,47669
"37",1209,48415
"38",1280,51054
"39",1280,51065
"40",1280,51066
"41",1280,51069
"42",1280,51071
"43",1280,51078
"44",1612,64733
"45",1705,68552
"46",1789,71777
"47",1789,71781
"48",2073,83196
"49",2118,84972
"50",2118,84996
"51",2118,84997
"52",2118,85000
"53",2118,85002
"54",2118,85007
"55",2262,90559
"56",2284,91486
"57",2284,91499
"58",2284,91504
"59",2284,91508
"60",2367,94810
"61",2367,94826
"62",2367,94829
"63",2367,94838
"64",2367,94842
"65",2367,94844
"66",2367,94850
"67",2404,96194
"68",2404,96214
"69",2404,96218
"70",2433,97853
"71",2433,97857
"72",2433,97862
"73",2433,97870
"74",2437,98007
"75",2437,98022
"76",2441,98242
"77",2467,99300
"78",2467,99305
