"","ref","line"
"1",0,0
"2",7,297
"3",7,298
"4",7,305
"5",7,311
"6",7,332
"7",51,2059
"8",51,2075
"9",51,2088
"10",79,3231
"11",79,3243
"12",97,3960
"13",97,3968
"14",97,3975
"15",97,3982
"16",97,3983
"17",188,7592
"18",188,7613
"19",188,7619
"20",188,7622
"21",233,9686
"22",233,9696
"23",252,10759
"24",252,10778
"25",252,10784
"26",252,10789
"27",272,11601
"28",272,11608
"29",277,11813
"30",277,11816
"31",277,11819
"32",277,11831
"33",332,14100
"34",332,14108
"35",358,15156
"36",358,15159
"37",441,18686
"38",558,23249
"39",558,23266
"40",666,28394
"41",666,28406
"42",666,28415
"43",756,32042
"44",756,32054
"45",756,32063
"46",778,32984
"47",778,32985
"48",801,33874
"49",844,35580
"50",844,35591
"51",844,35596
"52",844,35602
"53",844,35605
"54",867,36468
"55",867,36485
"56",885,37218
"57",963,40351
"58",1000,41843
"59",1044,44004
"60",1044,44017
"61",1070,45269
"62",1098,46414
"63",1098,46431
"64",1098,46438
"65",1098,46445
"66",1171,49429
"67",1171,49442
"68",1171,49445
"69",1230,51839
"70",1230,51851
"71",1230,51868
"72",1347,56432
"73",1365,57131
"74",1365,57147
"75",1365,57149
"76",1414,59178
"77",1414,59184
"78",1432,60347
"79",1432,60360
"80",1465,61838
"81",1492,62911
"82",1492,62939
"83",1720,71962
"84",1720,71982
"85",1720,72000
"86",1736,72642
"87",1736,72657
"88",1736,72666
"89",1736,72675
"90",1820,76532
"91",1820,76547
"92",1840,77319
"93",1840,77331
"94",1840,77339
"95",1840,77344
"96",1840,77349
"97",1934,81066
"98",1934,81088
"99",2109,88298
"100",2109,88352
"101",2109,88364
"102",2109,88374
"103",2115,88753
"104",2219,93259
"105",2228,93598
"106",2228,93612
"107",2228,93621
"108",2229,93658
"109",2229,93659
"110",2229,93660
"111",2297,96451
"112",2342,98294
"113",2342,98308
