"","ref","line"
"1",0,0
"2",6,260
"3",27,1314
"4",27,1317
"5",27,1320
"6",40,1877
"7",40,1889
"8",40,1918
"9",62,2817
"10",107,4830
"11",107,4863
"12",108,4881
"13",108,4896
"14",278,12705
"15",278,12715
"16",278,12721
"17",310,14147
"18",318,14505
"19",318,14521
"20",318,14534
"21",373,17081
"22",629,27826
"23",650,28704
"24",650,28722
"25",650,28725
"26",650,28728
"27",663,29242
"28",663,29266
"29",663,29278
"30",681,29987
"31",681,30000
"32",681,30001
"33",681,30014
"34",787,34281
"35",787,34297
"36",824,35884
"37",869,37747
"38",879,38276
"39",879,38295
"40",1027,44083
"41",1027,44084
"42",1027,44098
"43",1073,46264
"44",1073,46280
"45",1157,49810
"46",1169,50299
"47",1286,55129
"48",1294,55422
"49",1294,55433
"50",1294,55434
"51",1294,55440
"52",1294,55444
"53",1308,55956
"54",1308,55960
"55",1308,55963
"56",1365,58267
"57",1365,58283
"58",1365,58292
"59",1366,58339
"60",1460,62276
"61",1460,62300
"62",1467,62586
"63",1467,62597
"64",1467,62607
"65",1529,65078
"66",1529,65090
"67",1529,65102
"68",1529,65107
"69",1535,65281
"70",1582,67095
"71",1582,67104
"72",1603,67950
"73",1603,67964
"74",1622,68715
"75",1622,68737
"76",1622,68742
"77",1622,68748
"78",1648,69860
"79",1648,69867
"80",1648,69879
"81",1652,70048
"82",1652,70060
"83",1652,70071
"84",1743,73666
"85",1790,75465
"86",1801,75900
"87",1801,75921
"88",1801,75922
"89",1801,75929
"90",1816,76530
"91",1816,76534
"92",1816,76539
"93",1949,81701
"94",1978,82898
"95",1978,82925
"96",1978,82926
"97",1986,83212
"98",1986,83229
"99",2008,84220
"100",2013,84475
"101",2013,84490
"102",2013,84498
"103",2019,84873
"104",2019,84889
"105",2148,90232
"106",2152,90377
"107",2160,90682
"108",2169,91006
"109",2169,91019
"110",2169,91024
"111",2169,91033
"112",2267,95033
"113",2267,95053
"114",2277,95449
"115",2316,97034
"116",2316,97052
"117",2316,97064
"118",2343,98067
"119",2343,98081
"120",2391,99968
"121",2391,99980
"122",2391,99982
"123",2391,99994
