"","ref","line"
"1",0,0
"2",29,1198
"3",64,2586
"4",84,3319
"5",84,3323
"6",124,4926
"7",209,8366
"8",209,8372
"9",243,10074
"10",367,15242
"11",367,15260
"12",556,22847
"13",593,24278
"14",593,24286
"15",672,28064
"16",672,28065
"17",672,28068
"18",684,28556
"19",882,36261
"20",1015,41553
"21",1015,41555
"22",1015,41557
"23",1030,42146
"24",1060,43286
"25",1060,43291
"26",1092,44519
"27",1092,44520
"28",1130,45975
"29",1130,45977
"30",1306,52852
"31",1349,54820
"32",1439,58575
"33",1439,58591
"34",1439,58596
"35",1439,58600
"36",1475,60084
"37",1542,62947
"38",1554,63426
"39",1554,63437
"40",1554,63444
"41",1668,68088
"42",1668,68090
"43",1950,80133
"44",1950,80141
"45",1950,80148
"46",1965,80763
"47",1973,81090
"48",1973,81116
"49",2066,84868
"50",2066,84883
"51",2270,93103
"52",2270,93116
"53",2310,95523
"54",2329,96438
"55",2329,96447
"56",2382,98550
"57",2382,98561
"58",2382,98565
"59",2382,98567
