"","ref","line"
"1",0,0
"2",334,13555
"3",563,22998
"4",563,23023
"5",563,23077
"6",563,23089
"7",652,26970
"8",652,26973
"9",672,27743
"10",672,27751
"11",767,31568
"12",783,32187
"13",783,32200
"14",783,32202
"15",783,32205
"16",783,32208
"17",783,32210
"18",951,39336
"19",951,39341
"20",1065,43885
"21",1065,43894
"22",1065,43898
"23",1065,43908
"24",1080,44510
"25",1080,44511
"26",1136,47007
"27",1232,51044
"28",1323,54598
"29",1358,56045
"30",1358,56047
"31",1380,56972
"32",1432,59228
"33",1432,59233
"34",1436,59403
"35",1458,60258
"36",1458,60272
"37",1674,69280
"38",1911,78986
"39",1920,79328
"40",1922,79449
"41",1953,80768
"42",2046,84483
"43",2046,84494
"44",2109,87008
"45",2117,87337
"46",2126,87630
"47",2169,89331
"48",2193,90683
"49",2246,93034
"50",2272,94088
"51",2272,94091
"52",2272,94098
"53",2272,94106
"54",2358,97395
"55",2364,97649
"56",2373,97996
"57",2373,97999
"58",2416,99859
"59",2416,99862
